,fmin,fmax,Nwafer,det_spacing_freq,Detector Count,Beam in Arcseconds,Loading at Detector in pW,NEP at Detectors in aWrtHz,NEFD of a Single Detector,NEFD of Entire Frequency Band,Mapping speed in deg^2/mJ^2/hour,Mapping speed in deg^2/(30 uJ)^2/hour,NET_RJ of a Single Detector,NET_RJ of Entire Frequency Band,Mapping speed in deg^2/uKrj^2/hour
0,75.0,110.0,6,120.0,8760.0,15.135135135135137,3.0202743304083337,29.954679139317207,0.19846267947048057,0.0021204439512812934,16035.441824686597,0.1443189764221794,136.79811739178456,1.4615984292060482,0.03375035849289729
1,130.0,170.0,6,120.0,8760.0,9.333333333333334,3.0789766226840882,33.02540318011379,0.1915492284300846,0.002046578247763633,6546.041662186786,0.05891437495968108,132.82190300976444,1.4191151786631857,0.01361445254066725
2,195.0,245.0,8,250.0,50672.0,6.363636363636363,4.893072631000369,49.097043860007645,0.23002547525862918,0.00102186121018717,12206.433850939447,0.10985790465845505,156.43507218794178,0.69494447083287,0.026392007226340213
3,245.0,310.0,8,250.0,50672.0,5.045045045045045,7.788638606989703,69.3178842473035,0.25200161976617375,0.001119487656112251,6392.244784592502,0.057530203061332524,168.07986397978158,0.7466750933624311,0.014369070848812966
4,335.0,365.0,20,375.0,285040.0,4.0,6.551153167289951,77.76934158020988,0.6598055720815303,0.0012358423516919382,3297.2794343963087,0.029675514909566783,402.26969621357347,0.7534673067622317,0.008870601641362627
5,390.0,420.0,20,375.0,285040.0,3.45679012345679,10.521032514890043,114.95252757167484,1.1501420990653635,0.0021542623715720957,810.4211249017036,0.007293790124115333,604.8786964498598,1.1329621063227062,0.002930064465718445
6,625.0,710.0,10,640.0,415100.0,2.0973782771535583,62.56720001803169,385.1762123507837,2.594954367308057,0.004027665161106462,85.35102361755125,0.0007681592125579614,726.02999173514,1.1268813588670297,0.0010903327607526285
7,845.0,900.0,6,870.0,460236.0,1.6045845272206305,40.720661000730324,328.1353534604811,3.6561295407671337,0.005389286622558256,27.901307558399193,0.00025111176802559276,962.5514341156297,1.4188407466315287,0.0004025499854952142
8,,,50,,,,2.3400582477040014e-07,0.021193786813650167,2066.4902306825043,,,,1448388.8024249116,,
